OBJECTID,DIVISION,LOCATION,PREC,x,y,CONTACT_NUMBER,COMMANDING_OFFICER,EMAIL_ADDRESS,NUM_COPS
1,HARBOR,2175 JOHN S. GIBSON BLVD.,5,6473747.20494418,1734313.75343426,(213) 858-5478,Dustin Harris,bwalker@example.com,249
2,SOUTHEAST,145 W. 108TH ST.,18,6478136.92024609,1800159.994773,(323) 543-8286,Ryan Sutton,susanmoore@example.com,264
3,77TH STREET,7600 S. BROADWAY,12,6477478.5731376,1811690.88870592,(424) 718-4684,Christian Garcia,kelseyrowland@example.com,26
4,PACIFIC,12312 CULVER BLVD.,14,6434403.50869735,1819609.349575,(323) 532-4525,Thomas Ball,mcneiljustin@example.com,190
5,SOUTHWEST,1546 MARTIN LUTHER KING JR. BLVD.,3,6469193.36989176,1826369.31538576,(213) 217-6267,Samantha Morgan,danielshepard@example.net,101
6,NEWTON,3400 S. CENTRAL AVE.,13,6484051.92121135,1826975.81876592,(213) 169-6284,Wendy Wyatt,porterlinda@example.com,210
7,CENTRAL,251 E. 6TH ST.,1,6486754.66514967,1838492.09953909,(310) 249-8293,Karen Thompson,qferguson@example.net,284
8,WEST LOS ANGELES,1663 BUTLER AVE.,8,6425110.38883217,1838618.05105884,(818) 765-7411,Thomas Hughes,holtjames@example.org,279
9,HOLLENBECK,2111 E. 1ST ST.,4,6497123.94165517,1838828.37019201,(213) 601-9590,Veronica Martinez,richard75@example.com,225
10,WILSHIRE,4861 VENICE BLVD.,7,6457816.49894476,1839569.88773784,(323) 385-8472,Jenny Sloan,hopkinstracy@example.org,157
11,OLYMPIC,1130 S. VERMONT AVE.,20,6473467.60412543,1840780.00506826,(424) 363-4673,Jennifer Walker,nathan19@example.net,61
12,RAMPART,1401 W. 6TH ST.,2,6480803.36110742,1843118.53943317,(213) 657-6512,Gina Rubio,angelicatucker@example.net,215
13,HOLLYWOOD,1358 N. WILCOX AVE.,6,6461558.96029185,1857420.61909667,(323) 285-9423,Sharon Bond,johnlucas@example.org,239
14,NORTHEAST,3353 SAN FERNANDO RD.,11,6486180.20796525,1865853.45754592,(818) 139-7583,Eric Johnson,xsanders@example.com,43
15,NORTH HOLLYWOOD,11640 BURBANK BLVD.,15,6444956.01876026,1885087.07688701,(310) 454-8290,James Daugherty,joshualuna@example.net,251
16,VAN NUYS, 6240 SYLMAR AVE.,9,6427018.47720759,1889546.24250934,(310) 631-6336,Nathan White,mitchellkyle@example.com,39
17,WEST VALLEY,19020 VANOWEN ST.,10,6396120.33624808,1893212.10460018,(818) 368-8205,Elizabeth Lewis,andrew98@example.net,73
18,TOPANGA,21501 SCHOENBORN ST.,21,6380401.4090246,1903484.18051267,(818) 442-8118,Michael Lowe,oblack@example.org,29
19,FOOTHILL,12760 OSBORNE ST.,16,6437648.77779734,1914738.1990151,(213) 265-1189,Brianna Scott,lori71@example.com,184
20,DEVONSHIRE,10250 ETIWANDA AVE.,17,6401105.50016226,1916320.62498409,(213) 368-9028,Jessica Reynolds,kathypadilla@example.org,74
21,MISSION,11121 N. SEPULVEDA BLVD.,19,6420222.21947467,1922052.0994135,(323) 193-8208,Michelle Clark,mcdonaldroberto@example.com,129
